brick кирпич
concrete бетон
elevator лифт
engineering инжинерия
frame рамка
housing корпус
invention изобретение
landmark ориентир
occupant обитатель
quarry карьер
skyscraper небоскрёб
staircase лестница
steel сталь
tension напряжение
timber древесина
conventional обычный
cosy уютный
cramped тесно
curved изогнутый
disposable одноразовый
domestic внутренний
exterior внешность
produced производство
storey этаж
ornate украшенный
prefabricated сборный
spacious просторный
construct сжимать
demolish сносить
devise изобретать
haul тянуть
hoist подъёмник
maintain поддерживать
renovate отремонтировать
trigger вызывать
